Image_ID,Image_Number,Aspect_Ratio,Gender,Age,Smile,Pitch_Angle,Roll_Angle,Yaw_Angle,Blurness,Motionblur,Gaussianblur,Anger,Disgust,Fear,Happiness,Neutral,Sadness,Surprise,Facequality,Beauty,Mouthstatus,Skinstatus,Glass
1000912625,1092,0.9753694581280788,Male,29,0.391,3.4340713,5.401823,-7.633301,0.359,0.359,0.359,0.01,0.026,0.01,96.695,2.825,0.33,0.105,86.691,84.428,close,stain,None
1004472546,1094,0.9782608695652174,Male,43,0.591,-2.7608001,3.4604063,28.553898,0.178,0.178,0.178,2.684,40.687,0.104,0.104,14.079,21.09,21.253,0.015,53.648,open,acne,None
1004472546,1095,1.0347551342812007,Male,34,99.8,12.48197,0.174122,-7.5987053,1.132,1.132,1.132,0.001,0.025,0.001,92.854,7.117,0.001,0.001,79.087,78.313,close,health,None
1004472546,1096,1.0437158469945356,Male,30,99.703,9.278319,-0.51113504,-4.0387464,0.352,0.352,0.352,0.0,0.005,0.0,99.654,0.34,0.0,0.0,89.042,78.687,close,health,None
81242233,1097,0.9325153374233128,Female,39,99.998,7.7430506,8.136592,-3.570552,0.318,0.318,0.318,0.008,0.018,0.062,99.844,0.044,0.003,0.022,90.443,65.005,open,health,Normal
81242233,1098,0.9479553903345725,Female,32,99.968,7.571884,-0.07962528,0.6093041,0.34,0.34,0.34,0.422,0.244,13.683,68.807,0.244,1.82,14.78,92.814,68.46,open,health,Normal
81242233,1099,0.9321428571428572,Female,25,32.304,23.38045,-6.3804674,9.684823,0.388,0.388,0.388,0.828,0.098,0.953,0.261,0.405,0.098,97.358,36.176,75.042,close,health,Normal
1002351228,109,1.00418410041841,Male,42,0.288,2.596406,-4.0975785,0.90059716,0.363,0.363,0.363,0.0,0.001,0.0,0.001,99.997,0.0,0.0,94.086,62.647,close,stain,Normal
1005866142,10,0.9143730886850153,Female,36,92.047,11.606577,6.4979734,-2.371089,0.369,0.369,0.369,0.001,0.003,0.001,81.568,18.409,0.001,0.017,89.19,86.059,close,health,None
81242233,1100,0.9336283185840708,Female,24,0.036,2.6153085,3.4381082,6.8368087,0.048,0.048,0.048,0.008,0.008,28.555,0.009,60.145,0.008,11.268,88.545,69.938,close,stain,Normal
1007307559,1101,1.0100755667506298,Female,45,99.994,3.2195258,2.0508857,3.8480043,0.346,0.346,0.346,0.0,0.0,0.0,99.722,0.076,0.2,0.0,91.903,42.546,open,stain,Normal
1007307559,1102,1.013157894736842,Female,46,99.995,2.847359,2.3764443,4.137923,0.204,0.204,0.204,0.001,0.001,0.001,99.293,0.262,0.443,0.001,91.781,42.905,open,stain,Normal
1008508714,1103,1.0446428571428572,Female,32,100.0,7.506453,-0.7759534,7.265366,0.366,0.366,0.366,0.007,0.084,0.003,99.816,0.003,0.003,0.085,85.171,68.963,open,health,None
1008508714,1104,1.0510204081632653,Female,33,100.0,6.734913,3.2133439,6.418479,0.359,0.359,0.359,0.139,0.931,0.014,97.84,0.014,0.014,1.049,87.221,64.501,open,health,None
9952389,1105,0.9426229508196722,Female,38,100.0,1.1900861,0.64291257,7.687785,0.408,0.408,0.408,0.0,0.001,0.0,99.997,0.0,0.0,0.001,87.41,53.389,open,stain,None
